index,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills,region,prediction
0,0,0,0,0,0,na1,5
1,1,0,0,2,0,na1,5
2,0,0,0,0,0,na1,5
3,8,1,0,2,1,na1,3
4,10,2,0,1,0,na1,3
5,0,0,0,0,0,na1,5
6,4,0,1,2,1,na1,2
7,0,0,0,1,0,na1,5
8,6,0,1,2,0,na1,4
9,4,0,0,3,1,na1,2
10,10,1,1,3,1,na1,1
11,3,0,0,2,1,na1,2
12,3,0,0,0,1,na1,0
13,5,0,1,3,1,na1,4
14,9,1,1,1,1,na1,3
15,4,0,0,3,0,na1,2
16,2,0,0,0,2,na1,0
17,9,2,1,3,0,na1,1
18,8,1,0,2,1,na1,3
19,3,0,1,2,0,na1,2
20,3,0,0,2,0,na1,2
21,11,3,2,3,1,na1,3
22,8,1,1,4,1,na1,1
23,8,1,2,2,1,na1,3
24,2,0,0,0,0,na1,0
25,10,2,1,5,1,na1,1
26,1,0,0,0,1,na1,5
27,2,0,0,1,0,na1,0
28,10,1,1,3,1,na1,1
29,3,0,0,2,1,na1,2
30,3,0,0,0,1,na1,0
31,5,0,1,3,1,na1,4
32,9,1,1,1,1,na1,3
33,4,0,0,3,0,na1,2
34,5,0,0,2,2,na1,4
35,9,2,3,4,0,na1,1
36,4,0,0,3,1,na1,2
37,1,0,0,0,1,na1,5
38,0,0,0,1,0,na1,5
39,2,0,0,0,0,na1,0
40,3,0,0,3,0,na1,2
41,3,0,0,2,1,na1,2
42,1,0,0,1,0,na1,5
43,8,1,1,3,1,na1,1
44,9,1,0,2,2,na1,3
45,1,0,0,0,0,na1,5
46,6,0,1,2,2,na1,4
47,2,0,0,1,0,na1,0
48,11,4,1,1,0,na1,3
49,4,0,1,4,1,na1,2
50,1,0,0,0,1,na1,5
51,1,0,0,1,0,na1,5
52,4,0,0,3,1,na1,2
53,10,2,2,3,1,na1,1
54,0,0,0,0,0,na1,5
55,2,0,0,2,1,na1,2
56,2,0,0,0,1,na1,0
57,5,0,0,3,1,na1,4
58,3,0,0,2,0,na1,2
59,1,0,0,1,1,na1,5
60,3,2,0,0,1,na1,0
61,0,0,0,0,0,na1,5
62,0,0,0,0,0,na1,5
63,6,1,0,2,1,na1,4
64,8,1,1,3,1,na1,1
65,1,0,0,0,0,na1,5
66,1,0,0,1,1,na1,5
67,7,2,1,2,1,na1,4
68,2,0,1,0,0,na1,0
69,10,2,0,4,2,na1,1
70,0,0,0,0,0,na1,5
71,1,0,0,2,0,na1,5
72,5,0,1,1,1,na1,4
73,7,1,0,4,0,na1,4
74,0,0,0,0,0,na1,5
75,4,0,0,1,1,na1,0
76,0,0,0,0,0,na1,5
77,3,0,1,3,2,na1,2
78,7,0,1,1,2,na1,4
79,7,1,0,4,0,na1,4
80,7,1,1,1,2,na1,4
81,3,0,0,2,0,na1,2
82,9,2,2,4,2,na1,1
83,4,0,0,1,0,na1,0
84,0,0,0,1,0,na1,5
85,2,0,0,0,0,na1,0
86,1,0,0,0,1,na1,5
87,8,1,1,4,1,na1,1
88,4,0,0,2,1,na1,2
89,10,2,1,2,1,na1,3
90,6,0,0,4,2,na1,4
91,1,0,1,0,0,na1,5
92,0,0,0,0,0,na1,5
93,5,0,0,2,2,na1,4
94,11,7,1,2,2,na1,3
95,3,0,2,4,0,na1,2
96,11,4,2,0,2,na1,3
97,8,1,0,5,0,na1,1
98,6,0,1,2,2,na1,4
99,0,0,0,2,0,na1,5
100,5,1,1,2,1,na1,4
101,0,0,0,0,0,na1,5
102,6,1,1,0,1,na1,4
103,7,0,0,5,0,na1,1
104,0,0,0,0,0,na1,5
105,0,0,0,0,0,na1,5
106,8,2,0,2,0,na1,3
107,2,0,0,1,1,na1,0
108,2,1,0,0,0,na1,0
109,4,3,0,0,0,na1,0
110,1,0,0,0,0,na1,5
111,4,1,0,0,0,na1,0
112,3,0,0,1,1,na1,0
113,4,0,0,1,1,na1,0
114,10,3,2,2,1,na1,3
115,7,1,0,2,0,na1,4
116,2,0,0,2,0,na1,2
117,0,0,0,0,1,na1,5
118,1,0,0,1,1,na1,5
119,4,0,0,2,1,na1,2
120,0,0,0,0,0,na1,5
121,8,1,0,2,1,na1,3
122,10,2,0,1,0,na1,3
123,0,0,0,0,0,na1,5
124,4,0,1,2,1,na1,2
125,0,0,0,1,0,na1,5
126,6,0,1,2,0,na1,4
127,4,0,0,3,1,na1,2
128,10,1,1,3,1,na1,1
129,3,0,0,2,1,na1,2
130,3,0,0,0,1,na1,0
131,5,0,1,3,1,na1,4
132,8,1,0,2,1,na1,3
133,3,0,1,2,0,na1,2
134,4,0,0,3,1,na1,2
135,1,0,0,0,1,na1,5
136,0,0,0,1,0,na1,5
137,2,0,0,0,0,na1,0
138,1,0,0,0,1,na1,5
139,8,1,1,4,1,na1,1
140,4,1,0,1,1,na1,0
141,9,3,1,3,1,na1,1
